"id","surah_number","name_ar","name_en","revelation_type","verses_count","revelation_order","transliteration_en"
94,94,"الشرح","The Consolation","Makki",8,12,"Ash-Sharh"
95,95,"التين","The Fig","Makki",8,28,"At-Tin"
96,96,"العلق","The Clot","Makki",19,1,"Al-Alaq"
97,97,"القدر","The Power, Fate","Makki",5,25,"Al-Qadr"
98,98,"البينة","The Evidence","Madani",8,100,"Al-Bayyina"
99,99,"الزلزلة","The Earthquake","Madani",8,93,"Az-Zalzala"
100,100,"العاديات","The Chargers","Makki",11,14,"Al-Aadiyaat"
101,101,"القارعة","The Calamity","Makki",11,30,"Al-Qaari'a"
102,102,"التكاثر","Competition","Makki",8,16,"At-Takaathur"
103,103,"العصر","The Declining Day, Epoch","Makki",3,13,"Al-Asr"
104,104,"الهمزة","The Traducer","Makki",9,32,"Al-Humaza"
105,105,"الفيل","The Elephant","Makki",5,19,"Al-Fil"
106,106,"قريش","Quraysh","Makki",4,29,"Quraish"
107,107,"الماعون","Almsgiving","Makki",7,17,"Al-Maa'un"
108,108,"الكوثر","Abundance","Makki",3,15,"Al-Kawthar"
109,109,"الكافرون","The Disbelievers","Makki",6,18,"Al-Kaafiroon"
110,110,"النصر","Divine Support","Madani",3,114,"An-Nasr"
111,111,"المسد","The Palm Fibre","Makki",5,6,"Al-Masad"
112,112,"الإخلاص","Sincerity","Makki",4,22,"Al-Ikhlaas"
113,113,"الفلق","The Dawn","Makki",5,20,"Al-Falaq"
114,114,"الناس","Mankind","Makki",6,21,"An-Naas"
